"DateTime";"MARINGA"
"2022-01-01 12:00:00";0
"2022-01-02 12:00:00";0
"2022-01-03 12:00:00";0
"2022-01-04 12:00:00";11
"2022-01-05 12:00:00";15
"2022-01-06 12:00:00";0
"2022-01-07 12:00:00";35
"2022-01-08 12:00:00";0
"2022-01-09 12:00:00";
"2022-01-10 12:00:00";0
"2022-01-11 12:00:00";5
"2022-01-12 12:00:00";17
"2022-01-13 12:00:00";0
"2022-01-14 12:00:00";13
"2022-01-15 12:00:00";0
"2022-01-16 12:00:00";2
"2022-01-17 12:00:00";2
"2022-01-18 12:00:00";9
"2022-01-19 12:00:00";7
"2022-01-20 12:00:00";
"2022-01-21 12:00:00";0
"2022-01-22 12:00:00";0
"2022-01-23 12:00:00";0
"2022-01-24 12:00:00";0
"2022-01-25 12:00:00";0
"2022-01-26 12:00:00";0
"2022-01-27 12:00:00";5
"2022-01-28 12:00:00";25
"2022-01-29 12:00:00";0
"2022-01-30 12:00:00";5
"2022-01-31 12:00:00";0